Years,0,1,At25,Grand Total,PercentageOf
2013,1644.64,107.89,0,1752.53,6.560098259
2014,1732.99,88.42,0,1821.41,5.102164467
2015,1784.18,136.23,0,1920.41,7.63544037
2016,1889.53,291.07,0,2180.6,15.40435981
2017,2057.79,433.31,0,2491.1,21.05705636
2018,2254.09,603.24,1,2857.33,26.76201926
2019,2298.86,616.1617,1,2915.0217,26.80292406
2020,2611.556,810.452,1,3422.008,31.03329969
2021,2705.327,903.4658,1,3608.7928,33.3958076
2022,2597.457,856.753,1,3454.21,32.98429964
2023,2560.97,837.3352,1,3398.3052,32.69601752
2008,1094.76,189.87,0,1284.63,17.34352735
2009,1069.35,189.14,0,1258.49,17.68738018
2010,1003.9,203.21,0,1207.11,20.24205598
2011,852.12,258.3,1,1110.42,30.31263202
2012,744.01,270.24,1,1014.25,36.32209244
2013,853.39,239.05,1,1092.44,28.01181172
2014,891.71,258.82,1,1150.53,29.02513149
2015,925.94,430.04,1,1355.98,46.44361406
2016,942.84,379.72,1,1322.56,40.27406559
2017,974.1,411.74,1,1385.84,42.26876091
2018,1008.53,428.52,1,1437.05,42.48956402
2019,1052.255,446.716,1,1498.971,42.45320764
2020,1024.076,459.605,1,1483.681,44.87996985
2021,1077.143,501.664,1,1578.807,46.57357472
2022,1029.073,476.728,1,1505.801,46.32596521
2023,1096.856,490.469,1,1587.325,44.71589707
2008,25316.94,3898.39,0,29215.33,15.39834593
2009,25107.98,3810.97,0,28918.95,15.17832179
2010,23774.42,4174.67,0,27949.09,17.55950303
2011,22672.41,3782.46,0,26454.87,16.68309633
2012,21896.34,4277.34,0,26173.68,19.53449755
2013,21184.2,3284.3,0,24468.5,15.50353565
2014,20836.4,3525.5,0,24361.9,16.91990939
2015,21157.8,3892,0,25049.8,18.39510724
2016,21541.8,3944.8,0,25486.6,18.31230445
2017,22017.9,4032.9,0,26050.8,18.3164607
2018,22229.33,4008.902,0,26238.232,18.03429073
2019,22261.69,4379.159,0,26640.849,19.67127833
2020,21928.36,4433.709,0,26362.069,20.21906335
2021,22852.58,5029.731,0,27882.311,22.00946676
2022,23029.78,4839.436,0,27869.216,21.01381776
2023,22500.3,4664.708,0,27165.008,20.73175913
2008,4475.97,1520.47,1,5996.44,33.96961999
2009,4390.48,1604.4,1,5994.88,36.54270148
2010,4140.11,1414.4,1,5554.51,34.16334349
2011,4277.87,1407.6,1,5685.47,32.9042257
2012,4323.52,1404.73,1,5728.25,32.49042447
2013,4371.47,1444.79,1,5816.26,33.05043841
2014,4294.87,1419.74,1,5714.61,33.05664665
2015,4421.57,1418.49,1,5840.06,32.0811386
2016,4439.4,1434.51,1,5873.91,32.31315043
2017,4550.93,1425.82,1,5976.75,31.33029952
2018,4415.56,1319.66,1,5735.22,29.8865829
2019,4610.82,1496.81,1,6107.63,32.46298923
2020,4459.807,898.35,0,5358.157,20.14324835
2021,4352.135,866.52,0,5218.655,19.91022797
2022,4139.374,859.031,0,4998.405,20.75267903
2023,4134.001,830.446,0,4964.447,20.08819059
2008,5653,1893,1,7546,33.48664426
2009,5461,1871,1,7332,34.26112434
2010,5565,1878,1,7443,33.74663073
2011,5478,1895,1,7373,34.59291712
2012,5576,1939,1,7515,34.77403156
2013,5708,1919,1,7627,33.61948143
2014,6006,1960,1,7966,32.63403263
2015,6030,1924,1,7954,31.90713101
2016,6050,1874,1,7924,30.97520661
2017,5992,1846,1,7838,30.80774366
2018,6012,1856,1,7868,30.87159015
2019,6079,1817,1,7896,29.8897845
2020,6096,1816,1,7912,29.79002625
2021,6130,1799,1,7929,29.34747145
2022,5943,1695,1,7638,28.52094902
2023,6027,1731,1,7758,28.7207566
2008,33424,7775,0,41199,23.2617281
2009,32507.45,7890.34,0,40397.79,24.27240525
2010,31954.51,8068.62,1,40023.13,25.25033243
2011,31066.06,8134.03,1,39200.09,26.1830113
2012,30412.98,8173.096,1,38586.076,26.87370984
2013,30890.41,8459.578,1,39349.988,27.38577442
2014,31129.42,8466.004,1,39595.424,27.19615078
2015,31475.01,8557.788,1,40032.798,27.18915101
2016,31709.99,8639.75,1,40349.74,27.24614546
2017,30911.82,8324.172,1,39235.992,26.92876705
2018,30786.23,8385.508,1,39171.738,27.23785277
2019,30677.525,8310.999,1,38988.524,27.09149125
2020,31002.169,8032.298,1,39034.467,25.90882593
2021,31241.777,8172.345,1,39414.122,26.15838721
2022,29362.466,7738.782,1,37101.248,26.35603563
2008,229200,56209,0,285409,24.52399651
2009,222188,56273,1,278461,25.32675032
2010,227749,59203,1,286952,25.9948452
2011,228583,60500,1,289083,26.46741009
2012,228873.6,59393,1,288266.6,25.95013143
2013,231395.6,58913,1,290308.6,25.45986181
2014,234416.5,60010,1,294426.5,25.59973381
2015,237782.19,61289,1,299071.19,25.77526938
2016,243225,62178,1,305403,25.56398397
2017,243724.3,60763,1,304487.3,24.93103888
2018,265224.5,62677,0,327901.5,23.63167807
